layer,head,a_电脑,a_纸箱,b_电脑,b_纸箱,a_margin_c1_minus_c2,b_margin_c1_minus_c2,delta_margin
2,12,0.024658203125,0.01416015625,0.0205078125,0.0108642578125,0.010498046875,0.0096435546875,-0.0008544921875
2,13,0.035400390625,0.0225830078125,0.0517578125,0.033447265625,0.0128173828125,0.018310546875,0.0054931640625
2,14,0.1259765625,0.1337890625,0.10791015625,0.1142578125,-0.0078125,-0.00634765625,0.00146484375
2,15,0.0986328125,0.06298828125,0.057373046875,0.0771484375,0.03564453125,-0.019775390625,-0.055419921875
2,16,0.318359375,0.19140625,0.2080078125,0.158203125,0.126953125,0.0498046875,-0.0771484375
2,17,0.1416015625,0.0576171875,0.123046875,0.07958984375,0.083984375,0.04345703125,-0.04052734375
2,18,0.06689453125,0.02685546875,0.048095703125,0.0181884765625,0.0400390625,0.0299072265625,-0.0101318359375
2,19,0.060791015625,0.043701171875,0.064453125,0.06689453125,0.01708984375,-0.00244140625,-0.01953125
2,20,0.25390625,0.2734375,0.283203125,0.21484375,-0.01953125,0.068359375,0.087890625
2,21,0.36328125,0.09423828125,0.423828125,0.1044921875,0.26904296875,0.3193359375,0.05029296875
2,22,0.3671875,0.10107421875,0.349609375,0.1103515625,0.26611328125,0.2392578125,-0.02685546875
2,23,0.328125,0.09765625,0.279296875,0.07470703125,0.23046875,0.20458984375,-0.02587890625
2,24,0.302734375,0.064453125,0.333984375,0.068359375,0.23828125,0.265625,0.02734375
2,25,0.28515625,0.0458984375,0.291015625,0.0517578125,0.2392578125,0.2392578125,0.0
2,26,0.431640625,0.0888671875,0.369140625,0.1259765625,0.3427734375,0.2431640625,-0.099609375
2,27,0.2001953125,0.0380859375,0.203125,0.0211181640625,0.162109375,0.1820068359375,0.0198974609375
3,0,0.01129150390625,0.021240234375,0.005828857421875,0.0091552734375,-0.00994873046875,-0.003326416015625,0.006622314453125
3,1,0.0194091796875,0.0302734375,0.006744384765625,0.03564453125,-0.0108642578125,-0.028900146484375,-0.018035888671875
3,2,0.003509521484375,0.0084228515625,0.002777099609375,0.00738525390625,-0.004913330078125,-0.004608154296875,0.00030517578125
3,3,0.0052490234375,0.034423828125,0.004669189453125,0.037109375,-0.0291748046875,-0.032440185546875,-0.003265380859375
3,4,0.007354736328125,0.02001953125,0.00543212890625,0.0135498046875,-0.012664794921875,-0.00811767578125,0.004547119140625
3,5,0.04736328125,0.032958984375,0.0113525390625,0.0142822265625,0.014404296875,-0.0029296875,-0.017333984375
3,6,0.00909423828125,0.01123046875,0.006378173828125,0.0113525390625,-0.00213623046875,-0.004974365234375,-0.002838134765625
3,7,0.07861328125,0.0791015625,0.1142578125,0.06787109375,-0.00048828125,0.04638671875,0.046875
3,8,0.0022125244140625,0.01116943359375,0.00127410888671875,0.01055908203125,-0.0089569091796875,-0.00928497314453125,-0.00032806396484375
3,9,0.0947265625,0.09033203125,0.03125,0.0615234375,0.00439453125,-0.0302734375,-0.03466796875
3,10,0.00023937225341796875,4.315376281738281e-05,1.9073486328125e-05,0.00104522705078125,0.00019621849060058594,-0.001026153564453125,-0.001222372055053711
3,11,0.0157470703125,0.05908203125,0.020751953125,0.0576171875,-0.0433349609375,-0.036865234375,0.0064697265625
3,12,0.03564453125,0.03955078125,0.038330078125,0.039794921875,-0.00390625,-0.00146484375,0.00244140625
3,13,0.0194091796875,0.1181640625,0.0242919921875,0.08203125,-0.0987548828125,-0.0577392578125,0.041015625
3,14,0.09130859375,0.15625,0.10205078125,0.1640625,-0.06494140625,-0.06201171875,0.0029296875
3,15,0.033203125,0.06689453125,0.0130615234375,0.03271484375,-0.03369140625,-0.0196533203125,0.0140380859375
3,16,0.0264892578125,0.058349609375,0.013671875,0.0517578125,-0.0318603515625,-0.0380859375,-0.0062255859375
3,17,0.006439208984375,0.01043701171875,0.0015106201171875,0.0038299560546875,-0.003997802734375,-0.0023193359375,0.001678466796875
3,18,0.0177001953125,0.0986328125,0.021728515625,0.158203125,-0.0809326171875,-0.136474609375,-0.0555419921875
3,19,0.01458740234375,0.0263671875,0.01336669921875,0.0322265625,-0.01177978515625,-0.01885986328125,-0.007080078125
3,20,0.01904296875,0.04296875,0.0169677734375,0.0279541015625,-0.02392578125,-0.010986328125,0.012939453125
3,21,0.00946044921875,0.0142822265625,0.01116943359375,0.01611328125,-0.00482177734375,-0.00494384765625,-0.0001220703125
3,22,0.0157470703125,0.018310546875,0.0023956298828125,0.00701904296875,-0.0025634765625,-0.0046234130859375,-0.0020599365234375
3,23,0.02392578125,0.0361328125,0.027099609375,0.02734375,-0.01220703125,-0.000244140625,0.011962890625
3,24,0.00927734375,0.00830078125,0.00762939453125,0.0235595703125,0.0009765625,-0.01593017578125,-0.01690673828125
3,25,0.0284423828125,0.03173828125,0.0264892578125,0.06884765625,-0.0032958984375,-0.0423583984375,-0.0390625
3,26,0.0262451171875,0.033935546875,0.008544921875,0.0201416015625,-0.0076904296875,-0.0115966796875,-0.00390625
3,27,0.057373046875,0.05419921875,0.0191650390625,0.02880859375,0.003173828125,-0.0096435546875,-0.0128173828125
4,0,0.9453125,0.01416015625,0.921875,0.025146484375,0.93115234375,0.896728515625,-0.034423828125
4,1,0.5703125,0.10546875,0.478515625,0.1484375,0.46484375,0.330078125,-0.134765625
4,2,0.46875,0.025146484375,0.51953125,0.0196533203125,0.443603515625,0.4998779296875,0.0562744140625
4,3,0.81640625,0.00927734375,0.83984375,0.0067138671875,0.80712890625,0.8331298828125,0.0260009765625
4,4,0.6796875,0.022705078125,0.56640625,0.033203125,0.656982421875,0.533203125,-0.123779296875
4,5,0.703125,0.03125,0.515625,0.042724609375,0.671875,0.472900390625,-0.198974609375
4,6,0.90234375,0.00927734375,0.8515625,0.0125732421875,0.89306640625,0.8389892578125,-0.0540771484375
4,7,1.0,9.775161743164062e-05,1.0,0.000591278076171875,0.9999022483825684,0.9994087219238281,-0.0004935264587402344
4,8,0.99609375,6.193295121192932e-08,0.99609375,2.942979335784912e-07,0.9960936880670488,0.9960934557020664,-2.323649823665619e-07
4,9,0.99609375,7.37607479095459e-07,0.99609375,3.4570693969726562e-06,0.9960930123925209,0.996090292930603,-2.7194619178771973e-06
4,10,1.0,2.1047890186309814e-07,0.99609375,1.0505318641662598e-06,0.9999997895210981,0.9960926994681358,-0.003907090052962303
4,11,0.98828125,6.866455078125e-05,0.98828125,0.000385284423828125,0.9882125854492188,0.9878959655761719,-0.000316619873046875
4,12,0.98828125,2.1457672119140625e-06,0.984375,3.6209821701049805e-06,0.9882791042327881,0.9843713790178299,-0.003907725214958191
4,13,1.0,1.3783574104309082e-06,1.0,9.059906005859375e-06,0.9999986216425896,0.9999909400939941,-7.681548595428467e-06
4,14,0.416015625,0.02197265625,0.310546875,0.02099609375,0.39404296875,0.28955078125,-0.1044921875
4,15,0.765625,0.11328125,0.7265625,0.115234375,0.65234375,0.611328125,-0.041015625
4,16,0.7421875,0.038330078125,0.63671875,0.044189453125,0.703857421875,0.592529296875,-0.111328125
4,17,0.76953125,0.020263671875,0.8515625,0.0166015625,0.749267578125,0.8349609375,0.085693359375
4,18,0.68359375,0.001861572265625,0.59375,0.00396728515625,0.681732177734375,0.58978271484375,-0.091949462890625
4,19,0.8671875,0.00677490234375,0.71875,0.0087890625,0.86041259765625,0.7099609375,-0.15045166015625
4,20,0.94140625,0.001434326171875,0.87109375,0.00152587890625,0.939971923828125,0.86956787109375,-0.070404052734375
4,21,0.5859375,0.02099609375,0.49609375,0.02294921875,0.56494140625,0.47314453125,-0.091796875
4,22,0.2578125,0.03466796875,0.234375,0.0439453125,0.22314453125,0.1904296875,-0.03271484375
4,23,0.71875,2.4139881134033203e-06,0.68359375,0.0001659393310546875,0.7187475860118866,0.6834278106689453,-0.035319775342941284
